sex,age,weight_kg,height_cm,activity_level,tdee,protein_needed_g,fats_needed_g,carbs_needed_g,water_needed_liters,steps,walking_running_minutes,flights_climbed,cardio_vo2max,cardio_recovery_bpm,cholesterol_mg,saturated_fat_g,monounsaturated_fat_g,polyunsaturated_fat_g,trans_fats_g
Male,64,46,156,active,1932.0,96.60000000000001,64.4,241.5,1.518,5261,3,15,33,30,244,9,13,15,0
Female,29,95,183,light,2458.15625,122.9078125,81.93854166666667,307.26953125,3.1350000000000002,13813,54,22,49,28,185,17,14,6,2
Male,33,55,169,very_active,2747.875,137.39375,91.59583333333333,343.484375,1.8150000000000002,12148,65,42,46,14,286,14,7,10,1
Male,41,57,187,light,2115.78125,105.7890625,70.52604166666667,264.47265625,1.881,11572,66,36,57,34,91,6,11,5,3
Male,36,54,173,light,1988.59375,99.4296875,66.28645833333333,248.57421875,1.782,18008,6,8,32,20,105,7,13,18,0
Female,25,58,159,active,2221.36875,111.06843750000002,74.045625,277.67109375,1.9140000000000001,16085,54,2,50,19,12,16,15,11,2
Male,48,62,181,active,2615.53125,130.7765625,87.18437499999999,326.94140625,2.0460000000000003,19622,79,7,50,26,145,6,17,11,4
Male,38,95,164,sedentary,2148.0,107.4,71.6,268.5,3.1350000000000002,9843,30,37,31,13,118,5,15,16,1
Male,34,98,186,very_active,3757.25,187.8625,125.24166666666666,469.65625,3.234,4105,73,3,33,35,202,11,16,8,2
Female,40,53,169,very_active,2327.975,116.39875,77.59916666666666,290.996875,1.749,13441,18,11,30,30,140,18,8,8,4
Male,54,83,152,very_active,2878.5,143.925,95.94999999999999,359.8125,2.7390000000000003,12719,27,43,44,27,114,7,14,19,0
Male,33,72,186,moderate,2669.875,133.49375,88.99583333333334,333.734375,2.3760000000000003,5691,80,30,54,37,151,11,14,14,0
Male,23,47,189,light,2119.21875,105.9609375,70.640625,264.90234375,1.5510000000000002,14864,27,24,30,27,56,16,7,9,1
Male,25,64,157,active,2589.65625,129.4828125,86.321875,323.70703125,2.112,4996,18,15,35,10,156,11,5,6,4
Female,42,50,189,very_active,2489.475,124.47375,82.9825,311.184375,1.6500000000000001,4425,100,41,36,23,132,12,13,13,3
Male,35,71,172,sedentary,1938.0,96.9,64.6,242.25,2.343,19378,86,13,48,17,162,5,17,14,0
Female,42,97,189,very_active,3382.475,169.12375,112.74916666666667,422.809375,3.201,9849,19,12,41,11,274,9,5,8,3
Female,29,46,160,light,1586.75,79.3375,52.891666666666666,198.34375,1.518,6247,12,40,30,28,182,14,6,15,3
Female,32,73,157,light,1911.59375,95.5796875,63.719791666666666,238.94921875,2.4090000000000003,4490,76,6,36,24,76,13,13,13,2
Male,43,82,178,active,2971.3125,148.565625,99.04374999999999,371.4140625,2.706,17310,42,11,48,37,43,16,9,18,2
Female,58,47,179,moderate,1763.5125,88.17562500000001,58.783750000000005,220.4390625,1.5510000000000002,18401,10,36,42,11,205,15,8,7,0
Male,62,60,159,active,2223.09375,111.15468750000001,74.103125,277.88671875,1.98,15884,47,49,55,13,37,11,13,13,3
Female,43,74,188,very_active,2924.1,146.205,97.46999999999998,365.5125,2.442,7795,14,3,41,39,21,5,13,5,2
Female,64,84,177,sedentary,1758.3,87.915,58.61,219.7875,2.7720000000000002,4646,16,1,41,10,72,12,6,11,4
Female,49,46,185,active,2087.68125,104.38406250000001,69.589375,260.96015625,1.518,19142,53,34,51,28,240,7,7,8,4
Female,27,61,162,moderate,2056.0750000000003,102.80375000000002,68.53583333333334,257.00937500000003,2.013,17306,49,43,42,30,153,17,16,11,4
Female,33,85,181,active,2855.30625,142.76531250000002,95.176875,356.91328125,2.805,19824,27,2,57,19,236,8,7,18,4
Female,24,56,185,light,1973.46875,98.6734375,65.78229166666667,246.68359375,1.848,8956,82,3,43,10,4,8,9,14,3
Female,34,79,186,very_active,3080.85,154.04250000000002,102.695,385.10625,2.607,16928,3,37,51,29,220,19,17,19,4
Female,40,87,175,very_active,3045.225,152.26125,101.5075,380.653125,2.871,12721,21,11,59,31,85,14,7,10,3
Male,43,45,171,very_active,2486.625,124.33125000000001,82.88749999999999,310.828125,1.485,14157,85,18,41,24,176,18,14,8,0
Male,38,99,153,very_active,3346.375,167.31875000000002,111.54583333333332,418.296875,3.2670000000000003,5367,118,9,49,13,258,16,10,8,0
Female,39,89,180,very_active,3152.1,157.60500000000002,105.07,394.0125,2.9370000000000003,9696,100,0,41,16,219,12,6,12,4
Female,24,59,167,very_active,2570.225,128.51125,85.67416666666666,321.278125,1.947,8190,38,16,56,39,37,5,10,11,4
Female,31,70,187,sedentary,1863.3,93.165,62.11,232.9125,2.31,7663,33,15,35,16,141,12,10,8,4
Male,32,81,173,moderate,2691.1875,134.55937500000002,89.70625,336.3984375,2.673,10062,96,8,56,31,234,13,6,15,0
Female,24,65,172,very_active,2743.6,137.18,91.45333333333332,342.95,2.145,7331,43,8,39,34,202,13,10,10,2
Male,26,93,171,moderate,2904.3125,145.21562500000002,96.81041666666665,363.0390625,3.069,14880,41,8,49,27,293,9,10,10,0
Male,25,75,151,very_active,2990.125,149.50625,99.67083333333333,373.765625,2.475,19246,39,11,58,22,171,8,10,5,4
Male,40,69,180,active,2794.5,139.725,93.15,349.3125,2.277,6262,96,40,53,19,124,8,16,17,2
Male,46,67,160,very_active,2745.5,137.275,91.51666666666667,343.1875,2.2110000000000003,16320,11,14,38,33,64,13,17,6,2
