workout_type,duration_planned,intensity_level,time_of_day,previous_workout_strain,current_macronutrients_carbs,current_macronutrients_proteins,current_macronutrients_fats,hydration_status,recent_meal_timing,caloric_balance,micronutrient_levels_calcium,micronutrient_levels_iron,micronutrient_levels_vitamin_d,recovery_score,sleep_quality,heart_rate_variability,body_fat_percentage,lean_mass_kg,training_age,food_category,timing_window,portion_size_macro_ratio,portion_size_total_calories,portion_size_nutrient_timing,portion_size_hydration
strength,60,10,morning,7.561080775745689,389.4456255466366,63.49659434215813,146.74165979283504,2.173525028537867,within 1 hour,-434.70978370880323,569.7989259965688,30.502717933314962,418.5710319672937,4,4,94.53617479302602,15.894265312390207,63.1610724120406,3,slow-release carbs,post-workout 2-4hr,0.5900901139602283,952.7182628301379,during,1.9496804539971957
HIIT,30,10,afternoon,6.164361179875214,454.6034778585513,104.19668656171714,112.50598530477312,2.8854436717883556,2-3 hours,486.05418502623706,586.6650357740609,5.633857654373936,530.0364918373385,2,7,71.73487669869661,16.726120733216305,57.99833790801601,4,electrolyte-rich foods,post-workout 2-4hr,0.9030553291243623,307.5084158198834,before,1.84673136966143
strength,81,1,morning,2.9125206406917705,290.30590722647474,164.2217436676595,60.101169180676116,2.9034656382289183,1-2 hours,485.5434487168434,680.0889435274166,22.90948941135118,649.8893833668228,7,9,66.63170727577204,12.527951565357856,68.78886949413229,8,high glycemic carbs,post-workout immediate,0.42651188033884546,412.74370046129513,during,1.795062737928422
strength,74,3,evening,1.0084969974516944,360.630433925559,187.35603271392512,77.66022549061735,1.713494272767683,1-2 hours,-225.43539430831316,583.9211732786531,28.580138174197923,935.8115709384344,3,5,86.00005423808571,12.720328680264059,89.8121390056128,9,slow-release carbs,pre-workout 30-60min,0.2926963800509296,400.48434508874857,before,1.3598331091282705
strength,98,7,evening,5.0797608610868314,227.39092107452075,33.57480951125822,102.36177514200885,2.1502482296609067,within 1 hour,-443.13222447181766,918.0392075054607,9.579011402343927,396.9103801274483,8,1,75.74118646506186,14.18712933991852,95.24213211352463,10,BCAAs,post-workout 2-4hr,0.8802278940164633,365.9276679032516,before,1.1192484539452274
strength,113,10,evening,4.590777657885427,183.9316903418234,33.974968245720575,50.483817432201015,3.204352522689878,1-2 hours,283.6550466536554,918.121055993035,13.26375110638978,364.9675727457806,7,9,60.974612369730984,16.34331737340863,65.0172683876156,7,high glycemic carbs,pre-workout 60-90min,0.21584286126249225,567.1705203729225,during,1.72512704589862
HIIT,92,3,afternoon,7.71427589192988,432.1506184749587,201.53572529547827,142.88064191867164,2.9926726281375133,1-2 hours,-62.34375900176491,304.76437430412614,26.186082183108553,557.2502880429308,10,3,61.18798654634655,24.86648588144874,90.69527604869398,7,slow-release carbs,pre-workout 60-90min,0.152305806963588,618.1839620046803,during,1.789339167596948
cardio,69,4,evening,4.541740069086461,382.24320370806606,213.10666319136024,21.469339457913872,1.6385743871774046,within 1 hour,-174.42052939971308,746.3745861038593,34.66098999308062,427.6931352673579,1,5,99.1716016890183,20.188374149416745,92.97609701854498,5,electrolyte-rich foods,post-workout 2-4hr,0.656556202589754,348.988739449419,before,1.5693132241566263
cardio,103,1,afternoon,1.7575573901624264,161.4909786533371,212.55965464218175,133.94312945751525,1.290843311643852,within 1 hour,185.75930092264878,959.8316086245688,35.23923638347616,388.3041070197062,2,9,99.87313495854345,18.293053272049196,60.83824507415771,6,high glycemic carbs,post-workout immediate,0.21808265817291198,503.0276506921866,after,1.2476004385395114
cardio,78,7,evening,5.39516265263487,190.21021936701717,239.81899495432816,94.11635144893276,3.542207274118665,2-3 hours,48.629411237087766,509.2034372290442,17.56708559823975,726.5940881508341,4,7,39.93961414255217,12.138770939525681,68.03973838243604,9,complete proteins,post-workout 2-4hr,0.2866814896854029,761.5857460093778,during,1.4986733226157145
cardio,70,9,evening,1.6030227311334921,372.06375655909784,193.13520004379652,36.818625580083065,3.315956235264335,2-3 hours,250.13909591266793,908.2761116507908,6.853134552721471,737.8280666987573,3,5,99.94755846079643,19.494625340862065,84.34444746638006,1,healthy fats,post-workout immediate,0.6064516458584664,979.414908652651,before,1.091511739518253
strength,50,9,evening,0.2393792929867833,447.6676380287374,76.97707442347435,135.06397971851976,1.836706914306701,2-3 hours,123.15223518197843,392.93624340018863,17.797024065389724,857.3865457428636,7,2,78.237052788221,18.577761696796028,78.41623262713152,1,high glycemic carbs,pre-workout 0-30min,0.6607932063053809,355.4308837669777,after,1.2754265039403887
HIIT,70,9,afternoon,4.144079120370527,200.20988426084682,69.61487637372574,107.81880381165227,2.8816019698656246,1-2 hours,-100.60449179571418,751.0728759114646,36.168396711456396,574.8257981901393,7,3,90.92520633097726,25.013953937294474,55.67799482235984,2,BCAAs,post-workout 2-4hr,0.7138809539900994,312.381431249584,after,1.1839038546856127
cardio,90,9,evening,3.568031503060375,280.52094543836824,114.75282364235039,123.27682194078422,3.271452881313909,within 1 hour,369.35007920566875,567.4621895440466,16.14915251401498,877.5876497139751,7,10,85.22661168138445,23.58273572149161,58.01159278655197,3,slow-release carbs,pre-workout 30-60min,0.9214919253351015,411.05310316461055,during,1.3264028434833623
