workout_type,duration_planned,intensity_level,time_of_day,previous_workout_strain,current_macronutrients_carbs,current_macronutrients_proteins,current_macronutrients_fats,hydration_status,recent_meal_timing,caloric_balance,micronutrient_levels_calcium,micronutrient_levels_iron,micronutrient_levels_vitamin_d,recovery_score,sleep_quality,heart_rate_variability,body_fat_percentage,lean_mass_kg,training_age,food_category,timing_window,portion_size_macro_ratio,portion_size_total_calories,portion_size_nutrient_timing,portion_size_hydration
strength,92,10,evening,5.905107908636302,157.05997201210647,98.31112191899913,122.73571889382023,2.518880801233263,2-3 hours,285.4533269831454,931.8295127194584,16.057396521743538,933.3404389583736,1,6,86.0510152673717,13.119999380885748,65.13921943717484,15,slow-release carbs,intra-workout,0.9582720145597194,294.30318046894666,before,1.2740473301417121
cardio,71,5,morning,6.117276872397301,368.86165902161014,244.20764390632982,32.25229412646369,3.1646561122065537,2-3 hours,152.08302564673784,485.5096327849818,28.103886821110212,206.66322948967624,7,1,98.21380839038027,13.286838126423886,88.97697757965815,3,healthy fats,intra-workout,0.11534667287397216,338.6199906715916,before,1.4039176030830323
strength,53,2,afternoon,2.148546356671699,345.6551622108641,38.528204369376,72.35943584608373,3.4201006333426767,within 1 hour,-93.467079042433,895.8058160851857,28.690560447334143,882.2534449036079,10,9,67.75513426069914,11.423156378964736,77.76462581521528,14,BCAAs,post-workout 2-4hr,0.3868688250591442,716.0502975086052,after,1.8506013771079366
cardio,62,1,evening,9.814331085620847,106.46804863955163,222.3329622067042,145.76490398590494,2.298937121623121,within 1 hour,406.69728935819967,483.31607308339136,38.96285046975917,418.1010793845264,3,1,46.87044088967194,12.766024387620076,86.92791531520425,16,electrolyte-rich foods,pre-workout 60-90min,0.15367969897398415,998.644900275515,before,1.72151310734368
strength,106,3,evening,1.6445250425703584,176.5975813573442,112.88566085263902,50.3174930870483,1.7288268510066185,within 1 hour,-212.39556989037658,781.3344876097577,9.343164872605776,724.0087091926061,4,4,85.41130277496873,12.564239921223022,97.45666691435437,20,slow-release carbs,pre-workout 30-60min,0.5308221302835934,941.0135543212034,before,1.5593548587568415
cardio,69,9,evening,5.999360064269812,425.6860825424631,41.704823732902696,82.41950862173056,2.1416338341456305,2-3 hours,-171.5746543376825,984.0387770127654,21.085140215857837,555.2671656370392,5,4,50.56425052644768,11.431567098968443,68.56199476249229,20,electrolyte-rich foods,pre-workout 30-60min,0.21838246633617736,893.765792693265,before,1.7859118428229457
strength,87,4,morning,6.46592975181612,249.00183834297377,201.31035185284324,84.22096831558629,2.0733123819754473,1-2 hours,161.0142220102024,920.168559747515,6.147460881696739,872.8309259795865,4,10,31.747888307666326,21.028233798190936,51.49261750354013,6,healthy fats,pre-workout 60-90min,0.3241679227643322,782.3211816902741,before,1.9340696262575603
strength,58,4,evening,9.641498528675609,203.29534125643534,217.92833085993036,58.6440071955208,3.2169080908391345,within 1 hour,-317.4892365939974,929.437953526727,5.531007891017366,205.50946908903614,10,1,43.420604308844574,22.46142792386472,97.74915071172623,3,high glycemic carbs,pre-workout 60-90min,0.12143808806217551,442.17096062617577,before,1.6293642228087575
HIIT,33,7,morning,8.631297411931245,180.29710698053927,94.84874694517711,110.97528863103494,3.27834246418701,1-2 hours,10.634240452177096,921.4581025515276,18.554492939029203,469.4956963728502,4,9,66.7448536430177,29.296666902553554,87.99426570190303,19,electrolyte-rich foods,intra-workout,0.7651832667064526,625.8321384045125,before,1.4852391910673406
HIIT,108,1,evening,4.652602837204608,479.35396020312135,120.29320702933842,45.27115002537817,1.2270033017923772,2-3 hours,90.79351165280434,418.6222271026695,5.38103991896392,548.0785109114559,8,1,34.090335341965925,17.56939781815319,98.40538354896084,3,healthy fats,post-workout immediate,0.9593362189065792,600.4041864199348,during,1.842266030594426
