user_id,top_contributors
1,"['workout_duration', 'active_energy', 'distance']"
2,"['active_energy', 'avg_hr', 'workout_duration']"
3,"['active_energy', 'workout_duration', 'avg_hr']"
4,"['avg_hr', 'active_energy', 'workout_duration']"
5,"['workout_duration', 'active_energy', 'resting_hr']"
6,"['workout_duration', 'active_energy', 'avg_hr']"
7,"['workout_duration', 'avg_hr', 'active_energy']"
8,"['exercise_time', 'workout_duration', 'active_energy']"
9,"['workout_duration', 'active_energy', 'avg_hr']"
10,"['active_energy', 'avg_hr', 'workout_duration']"
11,"['workout_duration', 'avg_hr', 'active_energy']"
12,"['workout_duration', 'active_energy', 'avg_hr']"
13,"['workout_duration', 'active_energy', 'distance']"
14,"['workout_duration', 'avg_hr', 'active_energy']"
15,"['workout_duration', 'avg_hr', 'active_energy']"
16,"['active_energy', 'avg_hr', 'resting_hr']"
17,"['active_energy', 'workout_duration', 'avg_hr']"
18,"['workout_duration', 'active_energy', 'steps']"
19,"['workout_duration', 'avg_hr', 'active_energy']"
20,"['workout_duration', 'active_energy', 'avg_hr']"
21,"['workout_duration', 'active_energy', 'avg_hr']"
22,"['active_energy', 'avg_hr', 'workout_duration']"
23,"['active_energy', 'workout_duration', 'avg_hr']"
24,"['workout_duration', 'active_energy', 'sleep_duration']"
25,"['workout_duration', 'avg_hr', 'active_energy']"
26,"['active_energy', 'workout_duration', 'avg_hr']"
27,"['active_energy', 'avg_hr', 'workout_duration']"
28,"['workout_duration', 'active_energy', 'sleep_duration']"
29,"['workout_duration', 'active_energy', 'avg_hr']"
30,"['workout_duration', 'active_energy', 'avg_hr']"
31,"['sleep_duration', 'active_energy', 'workout_duration']"
32,"['workout_duration', 'active_energy', 'exercise_time']"
33,"['active_energy', 'workout_duration', 'avg_hr']"
34,"['avg_hr', 'active_energy', 'workout_duration']"
35,"['workout_duration', 'active_energy', 'steps']"
36,"['workout_duration', 'active_energy', 'exercise_time']"
37,"['workout_duration', 'distance', 'steps']"
38,"['workout_duration', 'active_energy', 'avg_hr']"
39,"['avg_hr', 'active_energy', 'workout_duration']"
40,"['workout_duration', 'avg_hr', 'active_energy']"
41,"['active_energy', 'workout_duration', 'resting_hr']"
42,"['workout_duration', 'active_energy', 'avg_hr']"
43,"['workout_duration', 'active_energy', 'sleep_duration']"
44,"['active_energy', 'workout_duration', 'exercise_time']"
45,"['active_energy', 'workout_duration', 'avg_hr']"
46,"['active_energy', 'resting_hr', 'avg_hr']"
47,"['workout_duration', 'active_energy', 'distance']"
48,"['workout_duration', 'steps', 'active_energy']"
49,"['workout_duration', 'active_energy', 'exercise_time']"
50,"['active_energy', 'workout_duration', 'steps']"
51,"['workout_duration', 'active_energy', 'steps']"
52,"['workout_duration', 'active_energy', 'sleep_duration']"
53,"['workout_duration', 'active_energy', 'avg_hr']"
54,"['workout_duration', 'active_energy', 'avg_hr']"
55,"['workout_duration', 'active_energy', 'resting_hr']"
56,"['workout_duration', 'sleep_duration', 'active_energy']"
57,"['workout_duration', 'exercise_time', 'steps']"
58,"['avg_hr', 'active_energy', 'workout_duration']"
59,"['workout_duration', 'active_energy', 'distance']"
60,"['active_energy', 'avg_hr', 'workout_duration']"
61,"['workout_duration', 'avg_hr', 'active_energy']"
62,"['workout_duration', 'steps', 'active_energy']"
63,"['workout_duration', 'avg_hr', 'sleep_duration']"
64,"['active_energy', 'workout_duration', 'distance']"
65,"['active_energy', 'workout_duration', 'distance']"
66,"['workout_duration', 'active_energy', 'distance']"
67,"['workout_duration', 'active_energy', 'avg_hr']"
68,"['workout_duration', 'exercise_time', 'distance']"
69,"['workout_duration', 'active_energy', 'steps']"
70,"['workout_duration', 'active_energy', 'avg_hr']"
71,"['workout_duration', 'distance', 'avg_hr']"
72,"['active_energy', 'workout_duration', 'avg_hr']"
73,"['workout_duration', 'active_energy', 'avg_hr']"
74,"['workout_duration', 'active_energy', 'avg_hr']"
